"id","startTime","comparisonId"
2692,"2021-03-28 02:40:00.025",68
2693,"2021-03-28 03:10:00.23",66
2694,"2021-03-28 03:30:00.026",90
2695,"2021-03-28 04:00:00.231",73
2696,"2021-03-28 04:20:00.027",91
2697,"2021-03-28 04:50:00.233",76
2698,"2021-03-28 05:10:00.028",71
2699,"2021-03-28 05:40:00.234",69
2700,"2021-03-28 06:00:00.018",67
2701,"2021-03-28 06:00:00.029",92
2702,"2021-03-28 06:30:00.235",89
2703,"2021-03-28 06:50:00.019",86
2704,"2021-03-28 07:20:00.236",87
2705,"2021-03-28 07:40:00.021",65
2706,"2021-03-28 08:10:00.238",70
2707,"2021-03-28 08:30:00.022",72
2708,"2021-03-28 09:00:00.238",74
2709,"2021-03-28 09:20:00.023",75
2710,"2021-03-28 09:50:00.239",88
2711,"2021-03-28 10:10:00.025",66
2712,"2021-03-28 10:40:00.241",68
2713,"2021-03-28 11:00:00.026",73
2714,"2021-03-28 11:30:00.242",90
2715,"2021-03-28 11:50:00.028",76
2716,"2021-03-28 12:20:00.243",91
2717,"2021-03-28 12:40:00.029",69
2718,"2021-03-28 13:10:00.244",71
2719,"2021-03-28 13:30:00.031",89
2720,"2021-03-28 14:00:00.007",67
2721,"2021-03-28 14:00:00.245",92
2722,"2021-03-28 14:20:00.033",87
2723,"2021-03-28 14:50:00.008",86
2724,"2021-03-28 15:10:00.034",70
2725,"2021-03-28 15:40:00.009",65
2726,"2021-03-28 16:00:00.036",74
2727,"2021-03-28 16:30:00.011",72
2728,"2021-03-28 16:50:00.037",88
2729,"2021-03-28 17:20:00.011",75
2730,"2021-03-28 17:40:00.039",68
2731,"2021-03-28 18:10:00.013",66
2732,"2021-03-28 18:30:00.04",90
2733,"2021-03-28 19:00:00.014",73
2734,"2021-03-28 19:20:00.042",91
2735,"2021-03-28 19:50:00.016",76
2736,"2021-03-28 20:10:00.044",71
2737,"2021-03-28 20:40:00.017",69
2738,"2021-03-28 21:00:00.046",92
2739,"2021-03-28 21:30:00.018",89
2740,"2021-03-28 22:00:00.007",67
2741,"2021-03-28 22:20:00.019",87
2742,"2021-03-28 22:50:00.008",86
2743,"2021-03-28 23:10:00.02",70
2744,"2021-03-28 23:40:00.008",65
2745,"2021-03-29 00:00:00.021",74
2746,"2021-03-29 00:30:00.009",72
2747,"2021-03-29 00:50:00.022",88
2748,"2021-03-29 01:20:00.01",75
2749,"2021-03-29 01:40:00.023",68
2750,"2021-03-29 02:10:00.011",66
2751,"2021-03-29 02:30:00.025",90
2752,"2021-03-29 03:00:00.012",73
2753,"2021-03-29 03:20:00.024",91
2754,"2021-03-29 03:50:00.013",76
2755,"2021-03-29 04:10:00.026",71
2756,"2021-03-29 04:40:00.015",69
2757,"2021-03-29 05:00:00.028",92
2758,"2021-03-29 05:30:00.015",89
2759,"2021-03-29 06:00:00.005",67
2760,"2021-03-29 06:20:00.016",87
2761,"2021-03-29 06:50:00.006",86
2762,"2021-03-29 07:10:00.018",70
2763,"2021-03-29 07:40:00.008",65
2764,"2021-03-29 08:00:00.02",74
2765,"2021-03-29 08:30:00.009",72
2766,"2021-03-29 08:50:00.021",88
2767,"2021-03-29 09:20:00.011",75
2768,"2021-03-29 09:40:00.022",68
2769,"2021-03-29 10:10:00.011",66
2770,"2021-03-29 10:30:00.024",90
2771,"2021-03-29 11:00:00.013",73
2772,"2021-03-29 11:20:00.024",91
2773,"2021-03-29 11:50:00.015",76
2774,"2021-03-29 12:10:00.025",71
2775,"2021-03-29 12:40:00.016",69
2776,"2021-03-29 13:00:00.026",92
2777,"2021-03-29 13:30:00.016",89
2778,"2021-03-29 14:00:00.006",67
2779,"2021-03-29 14:20:00.018",87
2780,"2021-03-29 14:50:00.007",86
2781,"2021-03-29 15:10:00.018",70
2782,"2021-03-29 15:40:00.009",65
2783,"2021-03-29 16:00:00.02",74
2784,"2021-03-29 16:30:00.01",72
2785,"2021-03-29 16:50:00.021",88
2786,"2021-03-29 17:20:00.012",75
2787,"2021-03-29 17:40:00.023",68
2788,"2021-03-29 18:10:00.013",66
2789,"2021-03-29 18:30:00.024",90
2790,"2021-03-29 19:00:00.014",73
2791,"2021-03-29 19:20:00.025",91
2792,"2021-03-29 19:50:00.015",76
2793,"2021-03-29 20:10:00.026",71
2794,"2021-03-29 20:40:00.016",69
2795,"2021-03-29 21:00:00.027",92
2796,"2021-03-29 21:30:00.016",89
2797,"2021-03-29 22:00:00.005",67
2798,"2021-03-29 22:20:00.017",87
2799,"2021-03-29 22:50:00.006",86
2800,"2021-03-29 23:10:00.018",70
2801,"2021-03-29 23:40:00.007",65
2802,"2021-03-30 00:00:00.019",74
2803,"2021-03-30 00:30:00.008",72
2804,"2021-03-30 00:50:00.02",88
2805,"2021-03-30 01:20:00.011",75
2806,"2021-03-30 01:40:00.022",68
2807,"2021-03-30 02:10:00.012",66
2808,"2021-03-30 02:30:00.023",90
2809,"2021-03-30 03:00:00.014",73
2810,"2021-03-30 03:20:00.024",91
2811,"2021-03-30 03:50:00.016",76
2812,"2021-03-30 04:10:00.025",71
2813,"2021-03-30 04:40:00.016",69
2814,"2021-03-30 05:00:00.026",92
2815,"2021-03-30 05:30:00.016",89
2816,"2021-03-30 06:00:00.006",67
2817,"2021-03-30 06:20:00.017",87
2818,"2021-03-30 06:50:00.006",86
2819,"2021-03-30 07:10:00.018",70
2820,"2021-03-30 07:40:00.007",65
2821,"2021-03-30 08:00:00.019",74
2822,"2021-03-30 08:30:00.008",72
2823,"2021-03-30 08:50:00.02",88
2824,"2021-03-30 09:20:00.009",75
2825,"2021-03-30 09:40:00.021",68
2826,"2021-03-30 10:10:00.011",66
2827,"2021-03-30 10:30:00.022",90
2828,"2021-03-30 11:00:00.012",73
2829,"2021-03-30 11:20:00.024",91
2830,"2021-03-30 11:50:00.014",76
2831,"2021-03-30 12:10:00.024",71
